COUNTRY,ISO_CODE,DATE,TOTAL_VACCINATIONS,PEOPLE_VACCINATED,PEOPLE_FULLY_VACCINATED,DAILY_VACCINATIONS_RAW,DAILY_VACCINATIONS,TOTAL_VACCINATIONS_PER_HUNDRED,PEOPLE_VACCINATED_PER_HUNDRED,PEOPLE_FULLY_VACCINATED_PER_HUNDRED,DAILY_VACCINATIONS_PER_MILLION,VACCINES,SOURCE_NAME,SOURCE_WEBSITE
AFGHANISTAN,AFG,2021-01-21,564932.0,338959.2,225972.80000000002,2066.0,2066.0,5.65,3.39,2.26,206.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-22,600105.0,360063.0,240042.0,35173.0,35173.0,6.0,3.6,2.4,3517.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-23,631113.0,378667.8,252445.2,31008.0,31008.0,6.31,3.79,2.52,3100.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-24,650982.0,390589.2,260392.80000000002,19869.0,19869.0,6.51,3.91,2.6,1986.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-25,682986.0,409791.6,273194.4,32004.0,32004.0,6.83,4.1,2.73,3200.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-26,695955.0,417573.0,278382.0,12969.0,12969.0,6.96,4.18,2.78,1296.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-27,733493.0,440095.8,293397.2,37538.0,37538.0,7.33,4.4,2.93,3753.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-28,741700.0,445020.0,296680.0,8207.0,8207.0,7.42,4.45,2.97,820.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-29,785877.0,471526.2,314350.8,44177.0,44177.0,7.86,4.72,3.14,4417.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-30,789591.0,473754.6,315836.4,3714.0,3714.0,7.9,4.74,3.16,371.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-31,810257.0,486154.19999999995,324102.80000000005,20666.0,20666.0,8.1,4.86,3.24,2066.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-01,853658.0,512194.8,341463.2,43401.0,43401.0,8.54,5.12,3.41,4340.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-02,857351.0,514410.6,342940.4,3693.0,3693.0,8.57,5.14,3.43,369.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-03,901109.0,540665.4,360443.60000000003,43758.0,43758.0,9.01,5.41,3.6,4375.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-04,943370.0,566022.0,377348.0,42261.0,42261.0,9.43,5.66,3.77,4226.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-05,983143.0,589885.7999999999,393257.2,39773.0,39773.0,9.83,5.9,3.93,3977.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-06,1023138.0,613882.7999999999,409255.2,39995.0,39995.0,10.23,6.14,4.09,3999.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-07,1062065.0,637239.0,424826.0,38927.0,38927.0,10.62,6.37,4.25,3892.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-08,1072263.0,643357.7999999999,428905.2,10198.0,10198.0,10.72,6.43,4.29,1019.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-09,1105644.0,663386.4,442257.60000000003,33381.0,33381.0,11.06,6.63,4.42,3338.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-10,1109371.0,665622.6,443748.4,3727.0,3727.0,11.09,6.66,4.44,372.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-11,1147905.0,688743.0,459162.0,38534.0,38534.0,11.48,6.89,4.59,3853.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-12,1194626.0,716775.6,477850.4,46721.0,46721.0,11.95,7.17,4.78,4672.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-13,1213130.0,727878.0,485252.0,18504.0,18504.0,12.13,7.28,4.85,1850.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-14,1261518.0,756910.7999999999,504607.2,48388.0,48388.0,12.62,7.57,5.05,4838.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-15,1291872.0,775123.2,516748.80000000005,30354.0,30354.0,12.92,7.75,5.17,3035.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-16,1299279.0,779567.4,519711.60000000003,7407.0,7407.0,12.99,7.8,5.2,740.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-17,1303648.0,782188.7999999999,521459.2,4369.0,4369.0,13.04,7.82,5.21,436.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-18,1345377.0,807226.2,538150.8,41729.0,41729.0,13.45,8.07,5.38,4172.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-19,1378470.0,827082.0,551388.0,33093.0,33093.0,13.78,8.27,5.51,3309.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-20,1425602.0,855361.2,570240.8,47132.0,47132.0,14.26,8.55,5.7,4713.2,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-21,1442515.0,865509.0,577006.0,16913.0,16913.0,14.43,8.66,5.77,1691.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-22,1460873.0,876523.7999999999,584349.2000000001,18358.0,18358.0,14.61,8.77,5.84,1835.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-23,1488021.0,892812.6,595208.4,27148.0,27148.0,14.88,8.93,5.95,2714.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-24,1503934.0,902360.4,601573.6,15913.0,15913.0,15.04,9.02,6.02,1591.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-25,1517538.0,910522.7999999999,607015.2000000001,13604.0,13604.0,15.18,9.11,6.07,1360.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-26,1545149.0,927089.4,618059.6,27611.0,27611.0,15.45,9.27,6.18,2761.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-27,1558882.0,935329.2,623552.8,13733.0,13733.0,15.59,9.35,6.24,1373.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-02-28,1580926.0,948555.6,632370.4,22044.0,22044.0,15.81,9.49,6.32,2204.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-01,1585763.0,951457.7999999999,634305.2000000001,4837.0,4837.0,15.86,9.51,6.34,483.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-02,1608033.0,964819.7999999999,643213.2000000001,22270.0,22270.0,16.08,9.65,6.43,2227.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-03,1628227.0,976936.2,651290.8,20194.0,20194.0,16.28,9.77,6.51,2019.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-04,1661719.0,997031.3999999999,664687.6000000001,33492.0,33492.0,16.62,9.97,6.65,3349.2,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-05,1682678.0,1009606.7999999999,673071.2000000001,20959.0,20959.0,16.83,10.1,6.73,2095.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-06,1720553.0,1032331.7999999999,688221.2000000001,37875.0,37875.0,17.21,10.32,6.88,3787.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-07,1725096.0,1035057.6,690038.4,4543.0,4543.0,17.25,10.35,6.9,454.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-08,1740044.0,1044026.3999999999,696017.6000000001,14948.0,14948.0,17.4,10.44,6.96,1494.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-09,1742280.0,1045368.0,696912.0,2236.0,2236.0,17.42,10.45,6.97,223.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-10,1775441.0,1065264.5999999999,710176.4,33161.0,33161.0,17.75,10.65,7.1,3316.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-11,1802505.0,1081503.0,721002.0,27064.0,27064.0,18.03,10.82,7.21,2706.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-12,1817958.0,1090774.8,727183.2000000001,15453.0,15453.0,18.18,10.91,7.27,1545.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-13,1855841.0,1113504.5999999999,742336.4,37883.0,37883.0,18.56,11.14,7.42,3788.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-14,1878171.0,1126902.5999999999,751268.4,22330.0,22330.0,18.78,11.27,7.51,2233.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-15,1906441.0,1143864.5999999999,762576.4,28270.0,28270.0,19.06,11.44,7.63,2827.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-16,1936809.0,1162085.4,774723.6000000001,30368.0,30368.0,19.37,11.62,7.75,3036.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-17,1940367.0,1164220.2,776146.8,3558.0,3558.0,19.4,11.64,7.76,355.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-18,1943165.0,1165899.0,777266.0,2798.0,2798.0,19.43,11.66,7.77,279.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-19,1952045.0,1171227.0,780818.0,8880.0,8880.0,19.52,11.71,7.81,888.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-20,1977651.0,1186590.5999999999,791060.4,25606.0,25606.0,19.78,11.87,7.91,2560.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-21,2018360.0,1211016.0,807344.0,40709.0,40709.0,20.18,12.11,8.07,4070.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-22,2027555.0,1216533.0,811022.0,9195.0,9195.0,20.28,12.17,8.11,919.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-23,2049250.0,1229550.0,819700.0,21695.0,21695.0,20.49,12.3,8.2,2169.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-24,2067835.0,1240701.0,827134.0,18585.0,18585.0,20.68,12.41,8.27,1858.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-25,2080313.0,1248187.8,832125.2000000001,12478.0,12478.0,20.8,12.48,8.32,1247.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-26,2130094.0,1278056.4,852037.6000000001,49781.0,49781.0,21.3,12.78,8.52,4978.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-27,2153178.0,1291906.8,861271.2000000001,23084.0,23084.0,21.53,12.92,8.61,2308.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-28,2157565.0,1294539.0,863026.0,4387.0,4387.0,21.58,12.95,8.63,438.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-29,2185269.0,1311161.4,874107.6000000001,27704.0,27704.0,21.85,13.11,8.74,2770.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-30,2221640.0,1332984.0,888656.0,36371.0,36371.0,22.22,13.33,8.89,3637.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-03-31,2265094.0,1359056.4,906037.6000000001,43454.0,43454.0,22.65,13.59,9.06,4345.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-01,2302032.0,1381219.2,920812.8,36938.0,36938.0,23.02,13.81,9.21,3693.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-02,2317283.0,1390369.8,926913.2000000001,15251.0,15251.0,23.17,13.9,9.27,1525.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-03,2353173.0,1411903.8,941269.2000000001,35890.0,35890.0,23.53,14.12,9.41,3589.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-04,2391479.0,1434887.4,956591.6000000001,38306.0,38306.0,23.91,14.35,9.57,3830.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-05,2431782.0,1459069.2,972712.8,40303.0,40303.0,24.32,14.59,9.73,4030.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-06,2437093.0,1462255.8,974837.2000000001,5311.0,5311.0,24.37,14.62,9.75,531.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-07,2459064.0,1475438.4,983625.6000000001,21971.0,21971.0,24.59,14.75,9.84,2197.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-08,2462831.0,1477698.5999999999,985132.4,3767.0,3767.0,24.63,14.78,9.85,376.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-09,2512079.0,1507247.4,1004831.6000000001,49248.0,49248.0,25.12,15.07,10.05,4924.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-10,2531306.0,1518783.5999999999,1012522.4,19227.0,19227.0,25.31,15.19,10.13,1922.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-11,2569857.0,1541914.2,1027942.8,38551.0,38551.0,25.7,15.42,10.28,3855.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-12,2606273.0,1563763.8,1042509.2000000001,36416.0,36416.0,26.06,15.64,10.43,3641.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-13,2646684.0,1588010.4,1058673.6,40411.0,40411.0,26.47,15.88,10.59,4041.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-14,2662422.0,1597453.2,1064968.8,15738.0,15738.0,26.62,15.97,10.65,1573.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-15,2673748.0,1604248.8,1069499.2,11326.0,11326.0,26.74,16.04,10.69,1132.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-16,2716708.0,1630024.8,1086683.2,42960.0,42960.0,27.17,16.3,10.87,4296.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-17,2745629.0,1647377.4,1098251.6,28921.0,28921.0,27.46,16.47,10.98,2892.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-18,2762590.0,1657554.0,1105036.0,16961.0,16961.0,27.63,16.58,11.05,1696.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-19,2798095.0,1678857.0,1119238.0,35505.0,35505.0,27.98,16.79,11.19,3550.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-20,2845733.0,1707439.8,1138293.2,47638.0,47638.0,28.46,17.07,11.38,4763.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-21,2883588.0,1730152.8,1153435.2,37855.0,37855.0,28.84,17.3,11.53,3785.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-22,2933142.0,1759885.2,1173256.8,49554.0,49554.0,29.33,17.6,11.73,4955.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-23,2961646.0,1776987.5999999999,1184658.4000000001,28504.0,28504.0,29.62,17.77,11.85,2850.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-24,2965966.0,1779579.5999999999,1186386.4000000001,4320.0,4320.0,29.66,17.8,11.86,432.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-25,3010914.0,1806548.4,1204365.6,44948.0,44948.0,30.11,18.07,12.04,4494.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-26,3051183.0,1830709.8,1220473.2,40269.0,40269.0,30.51,18.31,12.2,4026.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-27,3083472.0,1850083.2,1233388.8,32289.0,32289.0,30.83,18.5,12.33,3228.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-28,3090621.0,1854372.5999999999,1236248.4000000001,7149.0,7149.0,30.91,18.54,12.36,714.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-29,3111038.0,1866622.8,1244415.2,20417.0,20417.0,31.11,18.67,12.44,2041.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-04-30,3146031.0,1887618.5999999999,1258412.4000000001,34993.0,34993.0,31.46,18.88,12.58,3499.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-01,3181945.0,1909167.0,1272778.0,35914.0,35914.0,31.82,19.09,12.73,3591.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-02,3230064.0,1938038.4,1292025.6,48119.0,48119.0,32.3,19.38,12.92,4811.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-03,3244329.0,1946597.4,1297731.6,14265.0,14265.0,32.44,19.47,12.98,1426.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-04,3254330.0,1952598.0,1301732.0,10001.0,10001.0,32.54,19.53,13.02,1000.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-05,3302924.0,1981754.4,1321169.6,48594.0,48594.0,33.03,19.82,13.21,4859.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-06,3335671.0,2001402.5999999999,1334268.4000000001,32747.0,32747.0,33.36,20.01,13.34,3274.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-07,3342906.0,2005743.5999999999,1337162.4000000001,7235.0,7235.0,33.43,20.06,13.37,723.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-08,3383853.0,2030311.7999999998,1353541.2000000002,40947.0,40947.0,33.84,20.3,13.54,4094.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-09,3393643.0,2036185.7999999998,1357457.2000000002,9790.0,9790.0,33.94,20.36,13.57,979.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-10,3424568.0,2054740.7999999998,1369827.2000000002,30925.0,30925.0,34.25,20.55,13.7,3092.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-11,3467348.0,2080408.7999999998,1386939.2000000002,42780.0,42780.0,34.67,20.8,13.87,4278.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-12,3496062.0,2097637.1999999997,1398424.8,28714.0,28714.0,34.96,20.98,13.98,2871.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-13,3519247.0,2111548.1999999997,1407698.8,23185.0,23185.0,35.19,21.12,14.08,2318.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-14,3539362.0,2123617.1999999997,1415744.8,20115.0,20115.0,35.39,21.24,14.16,2011.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-15,3573002.0,2143801.1999999997,1429200.8,33640.0,33640.0,35.73,21.44,14.29,3364.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-16,3598901.0,2159340.6,1439560.4000000001,25899.0,25899.0,35.99,21.59,14.4,2589.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-17,3622799.0,2173679.4,1449119.6,23898.0,23898.0,36.23,21.74,14.49,2389.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-18,3624707.0,2174824.1999999997,1449882.8,1908.0,1908.0,36.25,21.75,14.5,190.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-19,3665386.0,2199231.6,1466154.4000000001,40679.0,40679.0,36.65,21.99,14.66,4067.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-20,3706215.0,2223729.0,1482486.0,40829.0,40829.0,37.06,22.24,14.82,4082.9,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-21,3720999.0,2232599.4,1488399.6,14784.0,14784.0,37.21,22.33,14.88,1478.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-22,3740422.0,2244253.1999999997,1496168.8,19423.0,19423.0,37.4,22.44,14.96,1942.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-23,3756609.0,2253965.4,1502643.6,16187.0,16187.0,37.57,22.54,15.03,1618.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-24,3794195.0,2276517.0,1517678.0,37586.0,37586.0,37.94,22.77,15.18,3758.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-25,3820996.0,2292597.6,1528398.4000000001,26801.0,26801.0,38.21,22.93,15.28,2680.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-26,3832927.0,2299756.1999999997,1533170.8,11931.0,11931.0,38.33,23.0,15.33,1193.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-27,3835770.0,2301462.0,1534308.0,2843.0,2843.0,38.36,23.01,15.34,284.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-28,3871623.0,2322973.8,1548649.2000000002,35853.0,35853.0,38.72,23.23,15.49,3585.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-29,3888717.0,2333230.1999999997,1555486.8,17094.0,17094.0,38.89,23.33,15.55,1709.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-30,3923941.0,2354364.6,1569576.4000000001,35224.0,35224.0,39.24,23.54,15.7,3522.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-05-31,3944981.0,2366988.6,1577992.4000000001,21040.0,21040.0,39.45,23.67,15.78,2104.0,PFIZER,WHO,HTTPS://WHO.INT
