COUNTRY_REGION,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANTIGUA_AND_BARBUDA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BHUTAN
2020-01-22,4515,4841,2146,4328,562,2928,4183,4453,3777,3531,2275,2020,2683,3477,4677,2419,2439,3164,4952,3300
2020-01-23,3255,2181,841,4816,4282,4880,3264,2785,2301,1311,2410,3771,2903,2046,3287,1071,1038,1966,3454,924
2020-01-24,2514,2636,2464,135,2345,3030,3348,2154,3542,3211,1330,4929,3379,1865,532,2770,869,4485,3065,4725
2020-01-25,2414,985,2016,544,2886,229,2051,4079,2600,780,574,279,2665,3809,2470,4071,3351,2939,1972,305
2020-01-26,4363,133,3375,380,3555,3794,3239,3387,4465,1801,1411,2833,1812,4153,38,1008,2316,2287,611,1396
2020-01-27,2052,2573,708,1245,48,2562,853,4782,29,1328,4506,4187,908,257,3205,2233,3112,2892,1965,2978
2020-01-28,2858,1231,4085,2419,4819,3427,95,2841,1820,870,690,3666,4234,2827,3754,4774,3911,872,3506,652
2020-01-29,4266,426,3035,3898,2397,200,3182,4187,35,1119,987,3861,3331,1997,2023,1687,1489,4855,2897,3471
2020-01-30,4320,3318,3030,1848,2179,127,1413,887,4217,3489,4514,1020,405,4137,4574,2526,4369,2981,1564,2587
2020-01-31,4522,1384,3609,4561,1621,909,289,3490,1223,2035,2707,1584,2093,4900,4158,1955,2089,3373,4133,3658
2020-02-01,3352,1464,94,2830,1738,568,3204,2640,3226,4707,453,242,3308,262,1553,1420,1550,407,4822,3088
2020-02-02,4637,4448,1784,2622,2985,1565,3587,129,2369,4365,4655,3175,51,4240,3005,1063,3990,2813,3211,4297
2020-02-03,3295,3434,4198,4539,2633,2560,2070,3023,1540,1521,1897,2878,639,247,2708,4110,1622,2214,2881,981
2020-02-04,2871,4417,4516,4316,231,206,298,1978,2012,4932,662,4372,2891,3372,1319,4277,3508,4745,4105,2171
2020-02-05,4424,2505,606,4631,4404,4713,4969,694,2223,705,1467,2022,659,3198,282,1532,374,2070,697,3133
2020-02-06,4037,936,2801,1372,2031,3449,4106,3323,1236,2718,1047,3559,2749,4319,2240,2850,1373,1490,1908,1629
2020-02-07,4522,3914,3818,138,553,3438,4343,2404,3592,3967,79,167,4162,344,327,299,3647,2792,3689,1763
2020-02-08,3225,1511,3517,822,526,74,1297,3500,665,4514,3164,665,2397,1587,3998,3384,2901,1568,95,652
2020-02-09,581,2964,4564,1175,619,3788,1332,4179,2917,3193,2497,4750,3509,1962,3241,3690,3126,3834,1859,4541
2020-02-10,4747,388,4864,797,2864,4275,2301,2401,2438,4070,3994,2958,3128,3874,106,4551,2013,714,3478,2608
2020-02-11,2446,4379,3564,4191,4642,3346,4189,2590,1232,19,213,4926,2981,4742,3393,1810,1222,3747,2560,400
2020-02-12,3915,2759,993,1474,799,229,631,4524,3290,226,865,1549,4197,4617,2633,3005,2273,1558,3650,2028
2020-02-13,4542,2711,2434,3301,3216,1800,3526,2678,3152,356,3042,3058,4299,2697,3473,135,955,4631,2584,1668
2020-02-14,2199,4154,1509,758,1867,23,3479,175,169,2142,1993,4414,86,529,945,2356,2776,2426,4855,1416
2020-02-15,3032,524,3124,4645,2621,4049,2914,1395,4078,3477,4775,3655,2040,878,359,4722,3857,261,3422,2860
2020-02-16,395,1607,4596,38,171,2731,435,981,3647,1413,3512,4551,1140,1818,1024,1526,220,1558,4394,3675
2020-02-17,4699,2043,3482,1975,491,4705,985,2113,414,1670,234,64,2184,4396,53,4041,456,2296,3836,1279
2020-02-18,17,2919,4488,4207,1015,1147,3758,720,4425,701,4062,3778,2934,2961,2448,4400,3000,3719,1363,4231
2020-02-19,2326,1281,1720,1021,2801,3092,1957,4142,2796,2961,2045,1736,2069,954,1129,4539,3098,2082,2876,1128
2020-02-20,441,3047,8,4626,4474,204,1847,2113,338,4007,4552,2793,1502,1101,3111,4166,4987,1429,3195,958
2020-02-21,4808,4579,2630,3730,2255,1518,4925,1967,412,53,4271,4131,115,3081,4285,1168,2461,2976,1431,710
2020-02-22,3358,2599,1908,88,1379,3745,940,3842,2009,2091,1001,3477,3020,1541,563,4261,3121,4992,4197,1727
2020-02-23,4392,1270,1569,1668,4344,4331,1462,2377,3227,3199,3944,2247,975,1330,1203,2284,2441,4240,4967,2727
2020-02-24,804,3286,1104,1055,3406,4614,3796,4103,4826,3758,3731,1694,868,415,3875,4951,3745,4356,2176,3709
2020-02-25,1684,932,1762,100,3049,1820,1155,756,4633,45,676,805,1460,4026,3230,2137,2766,1520,4138,2351
2020-02-26,4791,1875,2728,3572,2827,4672,996,639,3606,3614,4551,1043,3125,4658,4765,4832,4250,3384,426,2220
2020-02-27,84,4651,4035,697,4663,1709,2984,1298,1153,4817,4582,1147,3898,2190,4128,2557,3823,3671,4717,3457
2020-02-28,4395,2401,545,3982,4886,3592,4561,1253,735,318,2935,600,2466,3882,1135,3055,288,4675,920,4442
2020-02-29,4244,1859,2516,1919,2883,3768,3512,336,901,3509,3017,668,4912,230,3056,1950,3320,762,4519,4401
2020-03-01,3160,242,3065,4895,138,84,1045,3377,292,1075,1708,864,3025,345,1430,157,1403,2049,1183,4463
2020-03-02,4500,3058,3605,4368,2735,4586,2542,2236,35,1093,3493,60,2642,154,3338,4025,4360,51,2140,2006
2020-03-03,1435,963,4268,84,1520,2156,4247,2383,2572,4598,4150,540,4548,3386,2979,1983,4783,994,1512,818
2020-03-04,3931,726,1575,2040,3112,562,3865,3019,467,338,709,1884,2794,4137,212,3364,4042,363,1316,1642
2020-03-05,1385,1183,3179,4604,3374,2566,4341,1632,2869,2395,1086,4045,3248,3405,4460,3203,4053,4849,206,3394
2020-03-06,4702,4021,4562,2348,3476,2328,4229,4274,714,3601,3495,1175,1629,1311,1678,1986,2155,3439,2726,701
2020-03-07,86,3918,1097,1092,1741,1449,81,3444,2335,2432,682,4549,672,2062,3064,1021,3695,2171,3480,1938
2020-03-08,4736,4381,523,3469,845,326,1842,238,754,3670,96,3594,768,4244,1023,3701,960,525,458,3154
2020-03-09,2706,4004,3678,2336,4707,3278,1623,1346,619,597,2165,2213,447,584,3705,430,2706,1641,471,4815
2020-03-10,536,49,825,1800,2168,3299,4338,4541,678,3048,1827,1943,124,592,738,4062,3878,892,31,3781
2020-03-11,198,4351,4497,892,2092,2688,4485,3280,850,1570,2205,3302,4513,4802,3342,3660,1928,4969,1353,3674
2020-03-12,2608,3007,3513,616,4459,4248,911,4811,3579,1730,1342,176,2223,50,287,1485,2110,3790,3416,4035
2020-03-13,1139,3078,626,1383,1978,1755,1971,2877,4015,2846,27,971,2778,1958,972,1627,3632,2867,579,3830
2020-03-14,1414,4866,811,901,978,2829,3218,4399,4074,601,899,3768,4543,3928,1381,587,518,2784,3794,2324
2020-03-15,4607,4315,3245,4499,3032,3464,1949,4316,3414,514,2586,4433,3475,2417,38,4665,1134,4943,1488,200
2020-03-16,4542,4664,1415,2163,4279,2694,3493,4694,4627,1867,4929,4125,2012,1588,3977,3301,814,4049,2785,2840
2020-03-17,2713,4513,2515,3592,1572,1337,1753,4113,1415,428,4693,1556,1575,4788,2469,1693,2816,2712,1194,4310
2020-03-18,1683,4808,4517,1621,1673,3966,4503,1807,2328,2664,3702,504,881,2820,4174,1426,2119,44,1508,762
2020-03-19,1787,3329,987,752,959,3866,2916,950,1924,1056,2851,3397,2018,4159,2190,3514,1707,3664,2181,430
2020-03-20,2442,801,3394,4066,2748,3476,4476,3584,723,4400,906,4963,595,1332,4033,4859,1355,853,2124,4459
2020-03-21,3720,1189,3545,2560,4642,816,3675,4727,3003,1273,2929,1174,3123,1335,4814,1260,4491,3798,3420,3506
2020-03-22,4044,4436,1627,2926,4118,3438,1908,2232,2388,2915,3844,1562,4555,4031,3873,376,189,1420,1869,3557
2020-03-23,2327,522,3499,3725,4167,3711,1191,1921,1962,888,412,2315,1586,4428,4707,3871,3559,2344,1053,1727
2020-03-24,2485,3513,39,66,3857,241,1933,1785,737,3027,2144,3064,1301,180,1047,4632,827,4052,3275,2207
2020-03-25,1437,4405,4544,1309,2965,3216,2989,651,4459,1124,1350,2013,2869,1967,3742,3225,4022,2080,2182,2935
2020-03-26,3688,3950,4469,2557,4448,4133,1702,1979,4698,793,180,3523,2497,2654,709,4019,2507,2575,3824,2961
2020-03-27,2020,3556,1664,2295,792,1326,490,211,1653,3505,3184,4743,245,1770,97,4760,4490,1772,3061,2090
2020-03-28,1336,2909,718,1383,1981,876,4704,2176,1742,1348,1863,3745,872,347,4496,3493,3650,2666,4291,4875
2020-03-29,1362,749,779,1805,2425,2800,2906,3633,822,3634,4998,3289,4748,3675,2628,2428,4318,4298,3320,4146
2020-03-30,1628,915,549,2741,4619,3835,1813,4034,3057,4997,4150,118,1929,3885,2381,1008,364,123,3596,3125
2020-03-31,1518,4105,2142,2769,752,4455,3636,520,400,1788,186,700,2218,1179,1790,281,1352,2986,3719,2138
2020-04-01,4722,3813,1595,3700,3135,659,1716,4684,472,2820,4258,4262,393,3765,4860,742,578,4877,3615,2553
2020-04-02,3866,3552,3841,4399,1902,1345,1046,751,2123,2093,1607,4226,2375,2901,3926,3101,28,4577,3452,3069
2020-04-03,1184,3830,466,3745,441,2996,309,378,2304,1454,3118,4806,3070,2471,2018,3117,3825,3877,2632,697
2020-04-04,1239,4276,2695,4412,2316,4267,3047,362,2457,2737,2088,3939,2397,3457,2095,2848,1239,1813,4750,255
2020-04-05,2259,2065,4265,1211,2989,4631,742,2266,3407,4576,1937,2456,329,2601,200,4443,3111,1646,4011,1898
2020-04-06,4876,1457,966,927,2107,2195,776,2656,4402,2805,1048,712,3877,533,1091,919,577,4309,1188,3888
2020-04-07,834,1611,1995,2401,2485,3722,40,2609,3619,4111,2222,3111,4849,3434,4651,1442,1733,1302,37,1269
2020-04-08,1318,3322,3180,4680,1905,4419,1891,2798,3955,2403,2988,720,3928,4147,4929,3407,1903,2651,2148,701
2020-04-09,4196,1868,4264,3799,2870,4344,2246,3919,3282,2248,4070,894,2844,4263,2741,1143,1037,1158,3340,1670
2020-04-10,3038,4744,828,2044,1942,4196,2859,987,2508,2752,4893,2938,1665,1893,1972,3648,269,4074,3932,3501
2020-04-11,3024,4862,129,823,561,4137,746,1183,4771,1878,4292,1594,488,4316,3783,1456,2505,2976,810,3671
2020-04-12,3879,292,1895,1191,1784,2530,3669,2558,3059,755,2871,2794,2672,119,3316,4663,4569,1821,1868,463
2020-04-13,1455,2254,2489,2677,4809,1166,4993,4143,2258,3098,2711,3352,4343,3110,2385,2350,2374,3896,4893,2779
2020-04-14,1141,4675,1991,3309,2796,1341,2521,2794,1131,4563,631,3274,4569,4619,4724,2240,1300,2965,3423,1726
2020-04-15,126,247,1726,2809,1923,2708,2361,4370,2166,13,690,1136,3349,621,2248,2013,3752,3736,3220,1565
2020-04-16,2294,795,3725,176,1206,2417,606,1666,1088,3906,4467,1930,4014,2443,4071,4452,1188,3371,823,16
2020-04-17,3564,1176,2008,3263,1918,3193,3090,940,1121,3274,991,2386,4119,3306,1541,3559,420,362,2258,615
2020-04-18,2803,502,2592,2255,4901,2673,1284,1054,3875,3545,4755,4000,4296,1407,624,4659,2946,3772,2951,1555
2020-04-19,91,856,3862,3825,2885,2336,3429,9,976,834,1353,4867,4929,2425,1085,2868,4665,1802,1787,422
2020-04-20,3352,3872,1711,3188,4176,4646,2029,119,3444,3406,1854,3869,3657,2422,1668,1398,1840,3459,3261,813
2020-04-21,787,109,2427,272,3736,3397,955,1225,1666,1803,2178,4576,736,1845,3060,3024,64,3281,201,514
2020-04-22,4601,2057,1126,1351,1136,2451,2800,172,1182,4197,3643,3939,4931,1377,7,4807,1487,587,265,1791
2020-04-23,1554,4808,800,3054,1005,4828,1521,3233,1645,3492,397,4932,520,1405,950,1125,3340,3861,2266,2075
2020-04-24,97,4565,2540,988,2609,3931,395,2319,4616,2867,206,3181,3141,1142,2355,778,2963,4687,2579,441
2020-04-25,95,236,3197,3799,3156,1555,1735,3418,626,4398,1426,2643,175,1639,2221,4179,3312,3191,4481,23
2020-04-26,480,405,3353,1516,1003,1114,3662,1112,3521,4322,1982,558,4610,2952,2235,1715,2984,2776,4655,499
2020-04-27,2362,546,749,2619,1386,202,3053,625,3272,431,2760,4358,2150,339,1132,2124,1028,464,469,2740
2020-04-28,2199,749,956,4567,1171,2534,4473,3738,241,3683,2931,3574,2325,3959,796,358,603,3896,1949,1901
2020-04-29,4246,1689,862,1511,3863,4121,1709,490,4134,3165,2412,1736,3387,2991,3703,2921,4285,551,618,989
2020-04-30,4117,4777,507,4298,4451,4618,3885,251,392,1471,892,2837,3389,2787,1659,501,3411,41,4367,4353
2020-05-01,3973,2111,4240,3603,2163,471,1918,3852,4960,4339,4042,631,1832,829,2327,2891,2500,2475,2018,2577
2020-05-02,578,2616,2661,3840,4894,3593,1342,2600,1371,1350,4117,1740,3431,1479,1001,2427,3301,2476,659,536
2020-05-03,293,3572,1395,1871,2454,4565,1630,1865,4614,3779,3896,3475,2880,2639,4289,1364,1794,3460,1467,3142
2020-05-04,2670,1038,3682,1396,2091,3959,2395,1642,4262,4737,3055,53,1665,1542,1838,106,4528,73,1339,3593
2020-05-05,3521,1079,2549,1452,4584,3238,2478,2052,1614,636,189,218,4343,4657,1347,2131,3147,2359,4622,2139
2020-05-06,2326,2408,2678,883,2238,4078,3207,679,1138,3226,4289,3840,826,1793,443,2247,2088,1227,892,3017
2020-05-07,1791,3853,3939,4132,3625,3159,2275,4733,4286,1201,1830,2624,2084,3840,3776,4801,1966,1712,984,4168
2020-05-08,3011,3153,4122,2029,525,4473,3519,3879,2565,1768,3248,3413,3139,1553,1122,1686,2070,716,2161,3867
2020-05-09,2311,897,693,4282,3777,4556,4187,3999,112,1426,3556,4452,4289,2023,4322,1832,1167,3315,4745,4955
2020-05-10,2472,3641,1070,1228,1076,1865,641,2055,2713,4215,296,807,3663,4452,1683,980,962,2689,4407,2741
2020-05-11,2672,3193,2030,1938,4113,1556,745,3713,3247,4876,4560,4221,2465,2837,2298,249,642,3822,1822,1305
2020-05-12,1909,2736,1391,353,1098,4039,930,4716,498,1520,593,4708,1033,2579,610,2248,1925,2967,2571,2770
2020-05-13,2719,3460,3795,2846,212,2972,4283,3323,2205,4174,2535,83,4508,2954,114,432,3140,4732,518,457
2020-05-14,4752,443,2338,1396,3687,3084,1828,1208,633,4425,3171,1521,4632,2042,1473,683,1343,4543,3636,3123
2020-05-15,3992,3372,1048,4303,1802,3240,2776,3080,4910,4514,4478,3636,3557,3422,4332,2280,4446,3350,1901,54
2020-05-16,4613,3386,1555,145,1203,1600,214,4094,4571,1376,4398,139,2573,2307,1709,3037,1457,4129,2334,4974
2020-05-17,3988,2055,117,950,1256,211,40,2112,3205,2539,1983,3229,3048,626,857,3476,895,2850,2198,2072
2020-05-18,242,4236,4081,1052,516,3947,2966,3632,2760,4208,3998,2547,2105,1794,3536,3627,231,425,4970,148
2020-05-19,1046,4186,2677,1435,4761,3836,1856,3558,2259,2539,2231,281,2478,4414,3411,57,990,2678,1389,530
2020-05-20,1662,3906,3381,1502,4934,441,617,3741,4432,4275,4071,2487,322,4119,2957,1270,38,3516,4682,391
2020-05-21,1494,2448,4195,3249,268,4522,4670,3039,553,2957,4418,1691,1804,1507,2428,3340,937,4428,2231,3816
2020-05-22,764,2315,3643,3430,1534,4455,2492,1493,3703,3666,3361,3098,4574,4526,673,1404,1121,341,1152,3081
2020-05-23,1788,954,1019,4981,4755,4774,4653,3289,4569,2093,4223,189,1195,3449,4232,3206,1357,2692,1467,4477
2020-05-24,2444,2607,595,4288,1323,1736,1626,135,4942,1477,1315,3401,3850,1050,2603,400,1330,3479,4610,4928
2020-05-25,2053,4086,265,4499,4002,806,2116,2348,15,3670,916,2358,4931,4994,2545,2739,4133,3552,4129,582
2020-05-26,4432,754,4701,3837,4040,3471,4738,4872,3022,2751,3632,4222,1146,3517,2263,4929,1808,2731,3801,4490
2020-05-27,3154,347,3775,1000,2678,2751,2264,1306,121,1819,1273,4130,4009,4960,3235,4356,1847,2698,2626,2443
2020-05-28,3647,3817,3708,4533,4438,4951,1025,3252,2845,3078,4382,3186,2551,2462,4113,1970,4282,4948,4513,1010
2020-05-29,1312,2257,106,4885,4882,2390,1615,4141,1582,3982,587,3215,2403,1805,39,1866,1126,2666,1029,4900
2020-05-30,4101,2647,2378,3953,2492,3766,3505,3892,2628,9,682,3761,3604,150,2311,4432,521,4389,3069,1323
2020-05-31,4930,1616,3744,1425,1510,1141,563,2275,3227,4443,254,1820,1886,120,491,3021,3437,2168,4015,4661
2020-06-01,655,3837,676,2413,1339,4102,1519,1043,578,3445,4076,239,4195,2911,4736,847,709,3173,3407,4996
2020-06-02,3196,4612,604,2186,2638,745,4500,2149,2760,1933,1993,2075,1208,4114,3077,3294,628,3621,2460,3203
2020-06-03,4935,3717,3901,4473,2591,1880,292,3729,2479,321,19,1741,760,2549,1167,1208,2802,4945,719,733
2020-06-04,1281,3985,3159,2017,639,1578,2154,3212,3728,3392,309,597,1008,4588,2065,2505,4718,1503,4731,3278
2020-06-05,326,1795,4416,416,3113,2573,3285,1227,2630,4337,2013,2314,4185,3012,665,1702,2581,1184,704,3905
2020-06-06,4422,2125,1572,1109,1277,3420,2007,903,4858,704,701,3529,1489,3575,3680,2413,1712,1704,1894,2429
2020-06-07,534,2954,4427,653,588,3527,355,1360,325,3171,2707,332,1246,1499,3643,945,3890,2587,4010,3799
2020-06-08,3704,428,2620,3796,3685,1735,3308,3713,578,2678,1440,3458,610,4230,1079,3389,1716,4603,4616,654
2020-06-09,1394,2269,1468,803,3091,2707,1320,4136,759,645,4578,3406,3748,3447,4278,4067,358,1599,833,3161
2020-06-10,3164,1651,681,642,3676,1325,3044,603,2582,107,3497,4443,2889,3838,321,1928,2505,4754,1854,3986
2020-06-11,2434,212,3035,4903,3520,1125,262,801,1236,1605,2704,4082,3838,4196,4752,3151,944,2540,3417,562
2020-06-12,4912,1832,4996,2338,1173,2666,3687,4994,2457,4573,3413,3286,4979,3886,4320,4251,3309,4984,1443,1153
2020-06-13,1041,1185,1724,1680,526,2728,4945,3649,1473,3681,45,2340,1434,162,2511,3010,3209,2008,636,1643
2020-06-14,1448,1634,2440,612,1218,126,4911,1771,1502,4862,4125,2741,4222,2303,1362,1718,279,2710,344,3464
2020-06-15,2436,3376,4350,1810,2683,3379,120,3890,158,2646,3495,1299,3572,2777,955,1841,2987,1556,3654,1086
2020-06-16,1399,2424,3705,624,1330,3294,4351,833,4054,3448,2717,1562,4927,879,2534,2847,630,4690,3231,2376
2020-06-17,3447,3367,528,3234,3718,2346,3759,48,1052,2141,1083,1125,1613,1276,887,3583,1071,1669,3646,1779
2020-06-18,2540,832,1103,1642,4959,2858,3483,1907,3582,4900,4152,2664,2266,3074,2281,379,3088,428,2571,1887
2020-06-19,2310,1934,268,4237,4293,249,3563,4405,4631,2008,4043,2571,2889,759,3967,2978,4524,4184,2746,4524
2020-06-20,2786,307,3709,2378,4949,2841,1177,1723,4115,1384,1272,3991,737,2452,1779,718,4058,715,3071,4972
2020-06-21,2212,1621,2015,4009,3805,1043,2044,4592,4351,3432,3524,2612,1309,4014,2061,261,214,820,2416,1569
2020-06-22,27,4791,3438,2976,3378,3704,443,1256,3304,347,3262,1503,1958,308,1990,489,762,4530,3112,3808
2020-06-23,108,2320,2925,798,555,1587,1057,1289,212,4677,2297,4129,1654,509,926,4996,3627,2686,517,3078
2020-06-24,3359,3441,281,1658,2347,4552,990,565,3423,3414,1041,2031,3487,1525,4964,3196,2202,2075,4418,340
2020-06-25,1303,377,3161,4405,3853,3738,3360,3187,203,3764,3228,356,3323,3469,1270,707,988,71,28,4878
2020-06-26,2363,1012,3695,3356,3892,3896,1122,2207,1453,779,873,588,3105,3063,3346,545,2877,118,3391,4106
2020-06-27,4436,1316,1087,1163,2632,653,4955,796,3568,4538,1858,1203,1705,4826,3591,2048,1451,4155,3934,3349
2020-06-28,164,3948,4340,1082,2806,1635,53,673,1587,2137,1372,1307,1749,212,3783,1037,4001,343,1918,1672
2020-06-29,3367,1601,3871,3081,4724,4611,287,1469,3216,4909,2398,1164,4227,4129,367,3750,777,2626,3119,1590
2020-06-30,1701,3584,3971,2412,1940,3314,3967,2275,4075,682,2942,1148,2232,2619,74,262,4991,2315,2193,2759
2020-07-01,1379,4123,3843,3595,3164,4803,4101,4968,3763,4623,4216,3451,2801,2302,1306,3263,327,2254,1430,4000
2020-07-02,69,187,4625,4030,3934,542,1837,3398,1506,217,2415,386,1156,2954,4899,2026,4346,945,2802,3767
2020-07-03,1309,2691,4597,1109,1171,303,3725,1207,947,4606,2750,3259,690,618,151,3229,4384,1743,3270,3090
2020-07-04,4454,4879,2502,4686,2610,1069,648,3667,2795,834,1605,3750,1858,2240,2763,3728,3727,4259,577,4730
2020-07-05,69,4826,2890,3882,1539,1988,2516,2526,123,4240,4532,4534,3066,702,1355,4497,156,2142,2450,1216
2020-07-06,2954,1891,3728,3136,3344,1258,3020,3705,2796,725,1749,481,4029,325,2445,4123,4487,3602,3929,4467
2020-07-07,545,1628,2701,4369,672,2998,935,444,1753,3544,4840,505,3031,1195,1698,85,4995,4489,2105,1807
2020-07-08,441,4313,527,2106,1853,340,2737,4032,1869,2780,2470,4508,345,871,3988,995,298,1258,4209,4703
2020-07-09,4144,1311,4261,1843,106,2516,2610,2005,2269,2281,2794,735,3928,3450,3153,4136,188,2346,2228,325
2020-07-10,980,1203,3593,998,441,856,3574,3722,4106,3042,4822,50,1690,4536,2855,4399,3428,2806,3237,2905
2020-07-11,3713,3651,121,4088,4701,3386,4161,2354,2841,4985,2090,934,1320,2703,1934,2242,3023,3320,4826,740
2020-07-12,947,4981,4742,341,4633,505,279,4236,3418,4080,1116,2180,4257,1271,2867,3218,1917,2204,1269,4767
2020-07-13,3712,4434,4549,3131,1677,1943,2566,1812,1403,3528,4733,664,543,3930,1312,3283,3525,4976,3727,717
2020-07-14,626,1638,2139,3735,2435,1733,4137,1925,2841,25,30,1802,2441,4040,4029,1274,1237,2025,3434,580
2020-07-15,1734,344,1818,1465,2483,2814,3805,4548,3997,3233,4135,4320,1129,4227,1522,2499,92,3033,4684,21
2020-07-16,728,1737,4379,1176,1049,2285,1753,2066,4458,4851,3732,4810,4444,3103,4164,3191,458,3801,3998,4712
2020-07-17,4764,998,4681,3421,4372,1747,4762,1764,4180,240,3303,2442,3331,2548,643,618,172,1068,2948,2664
2020-07-18,2371,2835,3427,4919,636,2045,985,3063,3312,1991,4278,1050,4170,1426,2398,3808,2307,4187,735,4942
2020-07-19,352,3950,2221,1570,931,1646,97,4537,3618,3135,2831,303,672,4074,3271,4162,1590,1950,4698,4207
2020-07-20,2439,791,749,4573,3627,3053,3413,2521,3425,2276,1464,3965,1868,2600,3145,2153,903,475,2180,343
2020-07-21,137,2039,3217,2100,1466,2216,2509,2046,2587,1701,4259,3864,2943,4123,2608,1663,4599,1675,2372,1160
2020-07-22,2281,3839,2601,46,4903,2843,3524,248,2743,305,3633,2775,312,3669,1774,1576,1647,4174,4878,3080
2020-07-23,3750,4313,2903,4755,3937,3457,2777,170,4435,2933,2764,4250,3629,4942,3070,3873,4395,2054,3065,203
2020-07-24,4538,3748,2077,629,1122,1792,139,1146,1386,4332,863,4025,604,3656,2111,4834,4195,1834,1471,3117
2020-07-25,499,3501,4272,4382,2807,1015,2896,3959,1792,3244,3283,4923,1918,2930,2347,563,3124,4374,3010,49
2020-07-26,3692,2160,1460,2167,4388,1655,4101,459,2155,2936,2146,1921,4845,4914,926,3675,2072,377,3649,4096
2020-07-27,2717,4319,611,1006,4555,1374,1480,1077,1634,4694,21,3195,4998,4317,4026,4672,4072,1110,3854,4729
2020-07-28,142,3502,149,1316,193,3177,1788,3754,2689,1641,2032,3883,2056,4371,1896,616,2358,3621,1548,3642
2020-07-29,1685,1566,291,4798,4291,239,4190,2810,2570,4390,2784,4208,4552,2870,4247,1418,3953,4181,2461,3364
2020-07-30,4769,3779,133,2958,3097,4513,467,4661,653,3942,1687,567,1896,4475,305,801,2555,1566,3798,2637
2020-07-31,2248,220,4830,4037,297,1140,3218,1304,417,3864,2854,1829,377,2425,3771,2558,4340,4244,1041,4112
2020-08-01,2687,1435,66,1134,3723,4232,2245,3448,516,3504,4133,42,1343,3556,3284,3590,3579,3948,1969,4592
2020-08-02,4505,4379,957,1389,1963,3171,4822,1962,3344,1560,1104,4437,3800,2373,3467,4116,3079,1689,4206,3136
2020-08-03,4977,2214,866,99,2389,4390,89,191,2439,885,1574,1880,1101,440,3866,1789,2621,1885,500,4430
